key,developer,initial_state_time,to,initial_state,fieldtype,field,from,created,customer,priority,issuetype,projectkey,category,summary,description,resolutiondate,status,tester,lead_time_hours,lead_time_days,score
CC-2577,av,2022-03-10T13:35:42.151-0300,11608,In Technical Analysis,jira,status,11607,2022-01-12T11:04:41.000-0300,CSD,Média,Performance,CC,MELHORIAS,[Performance] Log da informação que hoje é gravada no CORPO_MENSAGEM_FILA,"* Alterar código para não gravar corpo_mensagem_fila na CC_REL_LANCAMENTO_EXTERNO
 ** Incluir geração de log na aplicação com o corpo da mensagem
 ** disponibilizar script de limpeza do corpo_mensagem_fila

 

Noticia sobre a limpeza dos dados :
[https://suporte.matera.com/support/solutions/articles/35000195125]

 ",2022-03-25T19:00:48.000-0300,Fechado,ap,96,12,24
CC-2544,ra,2022-01-25T10:16:28.583-0300,11608,In Technical Analysis,jira,status,11607,2022-01-04T09:40:32.000-0300,MOJP,Alta,Falha,CC,CORRECAO-ERROS,Tarifa de Pacote não exibida na tela FRMTARDIF,"Na tela de tarifas diferenciadas por conta (FRMTARDIF) ao informar uma tarifa que está vinculada ao pacote, o sistema informa que a tarifa não existe.

!image-2022-01-04-09-36-44-390.png|thumbnail!

Este cenário ocorre, pois no jira CC-1658 foi criado uma view para filtrar somente as tarifas que não são do pacote. No entanto, o JP sempre usou está funcionalidade, onde ele aplica uma porcentagem para cobrar um valor maior de seus clientes.
h1. *Contexto*

 Verificamos que a avaliação/tratamento do Jira CC-1658 foi realizada de forma incompleta e por isso o tratamento dado não foi o correto. 

Para correção iremos:
 * retirar a restrição da tela de cadastro de tarifas diferencias para as tarifas de pacote de tarifas,
 * incluir uma verificação na tela de cadastro de tarifas diferenciadas para impedir cadastro de tarifas diferenciadas em contas cujo campo % Tarifas do cadastro de conta corrente for diferente de 100%. 
 ** Foram realizados testes sobre o cadastro do % Tarifas e o cadastro de tarifas diferenciadas e conforme evidências (CC-2544 - Evidencias tramento % Tarifas no cadastro da conta) verificamos que quando informado um valor diferente de 100% no cadastro de contas o sistema considera este valor, ignorando a tarifa diferenciada. Desta forma para evitar um cadastro indevido iremos retornar uma mensagem de erro neste cenário: ""Essa conta possui, no cadastro de contas, campo ""% Tarifas"" diferente de 100."" 

h1. *Passo pra reproduzir*
 - Criar um pacote de tarifas e adicionar uma tarifa no campo Tipo Tarifa;
 - Acessar a tela Tarifas Diferenciadas De Conta (FRMTARDIF);
 - Clicar em Novo, informar Agencia e Conta, no campo Tarifa, informar a mesmo valor do Tipo Tarifa do pacote;

h1. *Resultado atual*

Sistema exibe a mensagem ""Tarifa Inexistente""
h1. *Resultado esperado*

A tarifa deveria ser preenchida normalmente.
h1. *Solução Técnica*
h1. *Versão*

11.8.5",2022-01-27T16:02:10.000-0300,Fechado,as,24,3,6
CC-2581,rp,2022-02-11T16:21:30.154-0300,11608,In Technical Analysis,jira,status,11607,2022-01-12T14:05:22.000-0300,BP,Média,Falha,CC,CORRECAO-ERROS,f481263 - Swagger com divergência,"Foi verificado que no swagger da API ""/v3/contas/transferencias"" o campo documento presente em ""Dados do Crédito"" e ""Dados do Débito"" está com uma declaração de que seu tipo é int64, o que permitiria um valor numérico até 9223372036854775807, sendo que a precisão do campo Documento na cc_lancamento é de 12 posições.",2022-02-23T13:29:21.000-0300,Fechado,as,72,9,18
TS-450,as,2022-03-29T08:23:05.635-0300,11608,In Technical Analysis,jira,status,11607,2022-02-25T17:43:02.000-0300,H6LOC,Urgente,Tarefa,TS,ADMINISTRATIVA,484156 - erro de integração SDTES => Standin,"Cliente relata problemas com a Integração SDTES / StandIn.

O problema ocorre no SDTES, onde a configuração de uma fila específica esta dando erro, aparentemente falta o parâmetro:

java.lang.NullPointerException: value of jms.queue

""service"":""LIQUIDACAO-FINANCEIRA""

 

Solicitamos apoio para realização de testes para verificar o funcionamento nas versões atuais.

 

Fluxo do processo gerado a partir do tratamento do TS-109:

[https://wiki.matera.com/wiki/Liquida%C3%A7%C3%A3o_Financeira_(documenta%C3%A7%C3%A3o_t%C3%A9cnica)#Integra.C3.A7.C3.A3o_com_o_stand_in]

 ",2022-03-29T08:24:06.000-0300,Fechado,as,0.01676805555820465,1,1
CC-2782,ra,2022-03-15T08:36:09.235-0300,11608,In Technical Analysis,jira,status,11607,2022-03-11T13:28:55.000-0300,H6LOC,Média,Falha,CC,CORRECAO-ERROS,F485889 - 3290 - Pix sem numero do Banco,"Conforme reportado pelo cliente no chamado 477862, mesmo após a implementação da correção que realizava o parse da Contraparte nas transações de Pix, ainda haviam registros gerados no 3290 onde existia falta de informações da contraparte.
No chamado 485889, analisando a montagem da view e dados enviados de exemplo, identificamos que o uso da function sBcBuscaIdBanco na view vcc_movimentacao_cc não retorna os dados dos ISPB's cujo os números iniciais sejam zero.

Exemplo do caso apresentado: 
ISPB 00360305 - Caixa Econômica Federal
 !image-2022-03-11-13-13-50-582.png|thumbnail! 

Analisando a function, o campo esperado pela mesma para tratamento é do tipo varchar e assim, entendemos que para garantirmos a consulta e retorno corretos, o adequado é o tratamento com LPAD do Campo.

 !image-2022-03-11-13-20-58-119.png|thumbnail! 
",2022-03-25T19:00:23.000-0300,Fechado,as,72,9,18
CC-2744,ra,2022-03-07T16:29:28.642-0300,11608,In Technical Analysis,jira,status,11607,2022-02-23T08:59:34.000-0300,H6LOC,Média,Falha,CC,CORRECAO-ERROS,[Calculo de Encargos] Ajuste em configuração de dias da fórmula,"Foi identificado que as fórmulas 9 e 10 estão fazendo pro-rata quando ocorre virada de mês em um final de semana ou feriado.

Analisando o código (sCcValorFatorTaxa), foi verificado que estas fórmulas não utilizam o parametro ""pDiasOntemHoje"", que corresponde ao numero de dias corridos entre o dia do cálculo e o próximo dia útil. Isso significa que o calculo desta fórmula é para 1 dia apenas, e neste caso, não deve ser feito calculo de pro-rata na ocorrencia de virada de mês em final de semana ou feriado.

Para ajustar o comportamento, e necessário atualizar tabela de configuração para que estas fórmulas possuem ""nuemro_dias_formulas"" = 22 (que indica que o cálculo é por dias úteis)

Esta atualização deverá ser feita por script pois o campo não está disponível no frontend.

 ",2022-03-16T19:44:52.000-0300,Fechado,as,64,8,16
CC-2733,ra,2022-03-09T10:24:48.296-0300,11608,In Technical Analysis,jira,status,11607,2022-02-21T14:45:40.000-0300,NCBA,Alta,Falha,CC,CORRECAO-ERROS,Relatório de risco que está dando erro ao tentar extraí-lo,"Erro ao gerar o relatório Menu Contas > Classificação de Risco > Relatório de Dívida Por Conta >

 

Erro :


ERROR - Handing exception: java.sql.SQLException: ORA-01791: not a SELECTed expression

 

!image-2022-02-21-14-41-55-256.png!",2022-03-16T19:44:57.000-0300,Fechado,as,48,6,12
CC-2785,gr,2022-03-11T14:40:34.219-0300,11608,In Technical Analysis,jira,status,11607,2022-03-11T14:14:38.000-0300,H6LOC,Alta,Falha,CC,CORRECAO-ERROS,Erro no tratamento da releaseHolds para valores decimais em contas de pagamento,Necessário ajustar o tratamento do valor decimal na chamada da releaseHolds pois em função de conversão de JSON está entrando num fluxo de bloqueio resultado num erro de validação de saldo.,2022-03-16T19:45:06.000-0300,Fechado,cc,32,4,8
CC-2816,ev,2022-03-21T08:37:35.996-0300,11608,In Technical Analysis,jira,status,11607,2022-03-18T11:56:15.000-0300,CSD,Média,Tarefa,CC,ADMINISTRATIVA,Levantamento das configurações para geração do Cnab240 no servidor,"Realizar um levantamento para verificar como gerar o Cnab no servidor.
Temos o registros dos seguintes passos:
 *  É possível configurar o processo no fechamento do período ou na abertura de dia No processo automático deve ser informado um caminho do servidor, conforme rotina abaixo. Existe tela para esta configuração ou apenas via dml?

select config.rotina, config.caminho_cnab, config.ind_gera_servidor into vsRotina, vsCaminhoArq, vsIndGeraServidor from cc_configuracao_cnab config;
 * Processo automático é executado pela rotina pCcArquivoCnab.GeraArquivo, onde a procedure principal que gera os dados sCcGeraCnab240 seria passada via parâmetro a partir da leitura da tabela de configuração acima (cc_configuracao_cnab).",2022-03-30T15:29:44.000-0300,Fechado,ev,64,8,16
FS247-26,rp,2022-02-09T08:12:18.186-0300,11608,In Technical Analysis,jira,status,11607,2022-01-21T15:16:11.000-0300,CSD,Alta,Vulnerabilidade de Segurança,FS247,ADMINISTRATIVA,Vulnerabilidade Log4 v1.x,"Mitigação de componente Vulneravel Log4J para Fs247


Recentemente foram identificados em seu sistema o componente vulneravel do Log4j de nivel critico para o sistema Fs247.

O time de Desenvolvimento Seguro recomenda estas instruções para mitigação da Vulnerabilidade:

-Substituir a biblioteca Log4J 1.x pela biblioteca Logback 1.2.10+ ou Latest Stable
OU
-Substituir a biblioteca Log4J 1.2 pela biblioteca Log4J 2.17+ ou Latest Stable

Portanto é preciso que o time resolva esta vulnerabilidade.

Conforme Politica de Gestão de Vulnerabilidade de Software disponivel em :
 - https://wiki.matera.com/wiki/PoliticaGestaoVulnerabilidadesSoftware

O prazo para solução é de 10 dias corridos a partir da data da abertura do cartão.

Duvidas entre em contato com: core.devseguro@matera.com ou me chame no chat.",2022-02-09T09:48:00.000-0300,Fechado,rp,1.594948333369361,1,1
